method,agents,freq,makespan,swt,runtime_s,ms_gap%,swt_gap%,rt_gap%,source,compare_against
CENTRAL-ECBS-SIPP,50,10,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,500,273,62172,27.0,-,-,-,original,CENTRAL-ECBS
CENTRAL-ECBS-SIPP,50,500,N/A,N/A,N/A,-,-,-,reimplementation,CENTRAL-ECBS
Hungarian+PBS-MLA*,10,0.2,2512,13707,0.4,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,0.2,2514,13737,11.4,+0.1%,+0.2%,+2740.1%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,0.5,1294,53758,1.3,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,0.5,1268,51685,1.4,-2.0%,-3.9%,+6.4%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,1,1197,123143,4.8,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,1,1189,121851,10.6,-0.7%,-1.0%,+120.1%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,2,1157,165857,14.3,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,2,1181,165860,28.0,+2.1%,+0.0%,+95.6%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,5,1151,194487,28.2,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,5,1137,193848,52.9,-1.2%,-0.3%,+87.7%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,10,1147,204639,36.0,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,10,1130,202602,60.9,-1.5%,-1.0%,+69.2%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,500,1141,212725,41.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,10,500,1144,209887,77.2,+0.3%,-1.3%,+87.9%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,0.2,2512,12273,1.1,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,0.2,2513,12087,4.4,+0.0%,-1.5%,+300.0%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,0.5,1029,13173,2.0,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,0.5,1024,13171,5.4,-0.5%,-0.0%,+170.0%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,1,651,32698,2.5,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,1,641,31169,2.1,-1.5%,-4.7%,-16.0%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,2,614,66019,2.8,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,2,609,66164,3.7,-0.8%,+0.2%,+32.1%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,5,597,92625,6.0,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,5,594,93280,9.1,-0.5%,+0.7%,+51.7%,reimplementation,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,10,590,102217,9.0,-,-,-,original,Hungarian+PBS-MLA*
Hungarian+PBS-MLA*,20,10,590,102283,14.8,+0.0%,+0.1%,+64.4%,reimplementation,Hungarian+PBS-MLA*
