method,agents,freq,ms_gap%,swt_gap%,rt_gap%,trigger
Hungarian+wPBS-MLSIPP,40,1,0.00,2.40,-94.7,rt
Hungarian+wPBS-MLSIPP,50,1,0.00,2.00,-94.3,rt
Hungarian+wPBS-MLSIPP,10,2,3.40,-0.60,25.2,ms+rt
Hungarian+wPBS-MLSIPP,20,2,1.50,2.50,-80.5,rt
Hungarian+wPBS-MLSIPP,30,2,1.60,-0.20,-94.7,rt
Hungarian+wPBS-MLSIPP,40,2,-1.50,6.20,-96.8,swt+rt
Hungarian+wPBS-MLSIPP,50,2,2.40,11.60,-96.4,swt+rt
Hungarian+wPBS-MLSIPP,10,5,2.50,-1.40,16.3,rt
Hungarian+wPBS-MLSIPP,20,5,0.00,0.00,-62.9,rt
Hungarian+wPBS-MLSIPP,30,5,3.90,0.50,-89.8,ms+rt
Hungarian+wPBS-MLSIPP,40,5,4.40,2.30,-96.3,ms+rt
Hungarian+wPBS-MLSIPP,50,5,4.10,4.60,-96.8,ms+swt+rt
Hungarian+wPBS-MLSIPP,10,10,2.00,-0.30,17.6,rt
Hungarian+wPBS-MLSIPP,20,10,2.20,-0.30,-62.8,rt
Hungarian+wPBS-MLSIPP,30,10,3.70,1.40,-86.3,ms+rt
Hungarian+wPBS-MLSIPP,40,10,1.30,2.40,-93.8,rt
Hungarian+wPBS-MLSIPP,50,10,-1.50,1.90,-97.0,rt
Hungarian+wPBS-MLSIPP,10,500,2.50,-0.20,22.2,rt
Hungarian+wPBS-MLSIPP,20,500,1.90,-0.20,-58.3,rt
Hungarian+wPBS-MLSIPP,30,500,2.00,1.30,-78.8,rt
Hungarian+wPBS-MLSIPP,40,500,-0.90,0.00,-90.6,rt
Hungarian+wPBS-MLSIPP,50,500,7.20,2.60,-94.0,ms+rt
LNS(1s)+PBS-MLA*,10,0.2,0.00,1.40,150.2,rt
LNS(1s)+PBS-MLA*,20,0.2,0.00,0.60,4.4,rt
LNS(1s)+PBS-MLA*,30,0.2,0.10,-0.10,14.9,rt
LNS(1s)+PBS-MLA*,40,0.2,0.00,-1.30,13.1,rt
LNS(1s)+PBS-MLA*,50,0.2,0.00,-0.20,203.5,rt
LNS(1s)+PBS-MLA*,10,0.5,-0.80,-4.90,26.6,swt+rt
LNS(1s)+PBS-MLA*,20,0.5,-0.20,3.00,-12.8,rt
LNS(1s)+PBS-MLA*,30,0.5,-0.40,1.80,-9.9,rt
